city,theatre_name,average_ticket_price,total_seats,no_screens,type,theatre_chain
Mumbai,"Cinepolis: Fun Republic Mall, Andheri (W)",260.0092593,1271,4,Multiplex,Cinepolis
Mumbai,"Cinepolis: Magnet Mall, Bhandup (W)",210.2347222,956,6,Multiplex,Cinepolis
Mumbai,Citylight Cinema: Mahim,181.25,252,1,Single Screen,
Mumbai,"Edward Talkies, Kalbadevi",,509,1,Single Screen,
Mumbai,EROS Theatre,,1204,1,Single Screen,
Mumbai,"Fun Cinemas: K Star Mall, Chembur",149.7530864,1253,5,Multiplex,Fun Cinemas
Mumbai,G7 Multiplex: Bandra (W),98.66666667,2266,7,Multiplex,
Mumbai,Gold Cinema: Dadar (E),155,245,1,Single Screen,Gold Cinema
Mumbai,Gold Cinema: Santacruz (W),205.3333333,420,1,Single Screen,Gold Cinema
Mumbai,Gold Cinema: Sona Borivali (E),151.6666667,259,1,Single Screen,Gold Cinema
Mumbai,"Gulshan Cinema, Ambewadi",,725,1,Single Screen,
Mumbai,"Imperial Cinema Pvt Ltd., Ambewadi",,816,1,Single Screen,
Mumbai,"INOX Laserplex: CR2, Nariman Point",496.005291,868,5,Multiplex,Inox
Mumbai,"INOX: Inorbit Mall, Malad (W)",279.2494444,1212,7,Multiplex,Inox
Mumbai,"INOX: Nakshatra Mall, Dadar (W)",167.3333333,272,1,Single Screen,Inox
Mumbai,"INOX: Neelyog, Ghatkopar (E)",159.4047619,915,4,Multiplex,Inox
Mumbai,"INOX: Raghuleela Mall, Kandivali (W)",194.4583333,1236,5,Multiplex,Inox
Mumbai,"INOX: R-City, Ghatkopar",357.0008547,1220,9,Multiplex,Inox
Mumbai,"INOX: Thakur Movie, Kandivali (E)",126.9166667,410,1,Single Screen,Inox
Mumbai,"Kalpana Cinema, Kurla North",,1188,1,Single Screen,
Mumbai,"Kamran Theatre, Kurla North",,432,1,Single Screen,
Mumbai,Kasturba Cinema: Malad,112.2222222,350,1,Single Screen,
Mumbai,"Kings Cinema, Kurla North",,191,1,Single Screen,
Mumbai,"KSS Miniplex, Kurla North",,182,3,Multiplex,K Sera Sera
Mumbai,Le Reve (Globus): Bandra (W),195.5,259,1,Single Screen,
Mumbai,Liberty Cinema: Marine Lines,145,1115,1,Single Screen,
Mumbai,Maratha Mandir: Mumbai Central,60,1107,1,Single Screen,
Mumbai,Maxus Cinemas: Borivali (W),224.6354167,917,4,Multiplex,Maxus Cinema
Mumbai,Maxus Cinemas: Saki Naka,194.9404762,951,4,Multiplex,Maxus Cinema
Mumbai,"Mayur Cinema, Subhash Lane",,645,1,Single Screen,
Mumbai,"Metro INOX Cinemas, Marine Lines",,1342,5,Multiplex,Inox
Mumbai,Miraj Anupam Cinemas: Goregaon (E),146.1666667,490,2,Multiplex,Miraj Cinema
Mumbai,Miraj Thakur Cinemas: Kandivali (E),196.875,668,1,Single Screen,Miraj Cinema
Mumbai,"Moti Cinema, Ambewadi",,745,1,Single Screen,
Mumbai,Movietime Star City: Matunga (W),172.375,366,1,Single Screen,Movietime
Mumbai,Movietime Suburbia: Bandra (W),458.9,189,1,Single Screen,Movietime
Mumbai,Movietime: Dahisar (E),140.5555556,354,1,Single Screen,Movietime
Mumbai,Movietime: Malad,161.4444444,403,3,Multiplex,Movietime
Mumbai,"Movietime: The Hub, Goregaon",178.6022487,1320,7,Multiplex,Movietime
Mumbai,"Mukta A2 Cinemas: Jai Hind, Lalbaugh",158.0555556,350,2,Multiplex,Mukta A2
Mumbai,"Mukta A2 Cinemas: Topiwala, Goregaon",129.5462963,453,2,Multiplex,Mukta A2
Mumbai,Nandi Cinema: National Library Road,65,762,1,Single Screen,
Mumbai,Natraj Cinema: Chembur,65,746,1,Single Screen,
Mumbai,New Excelsior Mukta A2 Cinemas: Fort,160.25,596,1,Single Screen,
Mumbai,"New Shirin Talkies, Agripada",,801,1,Single Screen,
Mumbai,"Nishat Talkies, Falkland Road",,691,1,Single Screen,
Mumbai,"Palace Talkies, V J B Udyan",,724,1,Single Screen,
Mumbai,Paradise E-Square Cinema: Mahim,102.2916667,502,1,Single Screen,
Mumbai,Plaza Cinema: Dadar,227.5,691,1,Single Screen,
Mumbai,Premier Gold: Dongri,110.8333333,330,1,Single Screen,
Mumbai,Premiere Cinema: Dadar (E),132.5,465,1,Single Screen,
Mumbai,PVR ICON: Versova,290.9197531,844,4,Multiplex,PVR
Mumbai,PVR ICON: Versova (Gold),616.6666667,86,2,Multiplex,PVR
Mumbai,"PVR: Citi Mall, Andheri (W)",265.4938272,864,4,Multiplex,PVR
Mumbai,"PVR: Dynamix, Juhu",277.4550265,1279,5,Multiplex,PVR
Mumbai,"PVR: Growel, Kandivali (E)",228.452381,482,4,Multiplex,PVR
Mumbai,"PVR: Market City, Kurla (4DX)",398.2142857,288,2,Multiplex,PVR
Mumbai,"PVR: Market City, Kurla (Gold)",530,137,2,Multiplex,PVR
Mumbai,"PVR: Market City, Kurla (Premiere)",243.723545,910,5,Multiplex,PVR
Mumbai,"PVR: Milap, Kandivali (W)",197.5,325,2,Multiplex,PVR
Mumbai,"PVR: Nirmal Lifestyle, Mulund (W)",172.7777778,1815,6,Multiplex,PVR
Mumbai,"PVR: Oberoi Mall, Goregaon (E)",264.9142857,1782,6,Multiplex,PVR
Mumbai,"PVR: Phoenix, Kotak IMAX, Lower Parel",267.3333333,444,1,Single Screen,PVR
Mumbai,"PVR: Phoenix, Lower Parel",337.8737374,1760,7,Multiplex,PVR
Mumbai,PVR: Sion,172.8125,730,3,Multiplex,PVR
Mumbai,"PVR: Sona Shopping Centre, Kandivali (W)",125.4166667,287,1,Single Screen,PVR
Mumbai,Regal Cinema: Colaba,166,1178,1,Single Screen,
Mumbai,"RNA Play Cinema: Kalanagar, Bandra (E)",280,195,1,Single Screen,
Mumbai,Roxy Cinema: Charni Road,175.3333333,343,1,Single Screen,
Mumbai,"Royal Talkies, Falkland Road",,708,1,Single Screen,
Mumbai,Sangeeta Cineplex: Malad,128.45,178,1,Single Screen,
Mumbai,"Shalimar Cinema, Bharat Nagar",,704,1,Single Screen,
Mumbai,"Sharad Talkies, Chembur",,400,1,Single Screen,
Mumbai,Sharada Cinema: Dadar (E),55,1104,1,Single Screen,
Mumbai,"Sheetal Cinema, Kurla North",,993,1,Single Screen,
Mumbai,"Shri Krishna Cinema, Bhandup Ind. Estate",,766,1,Single Screen,
Mumbai,"Silver Cinema, Ambewadi",,636,1,Single Screen,
Mumbai,Sterling Cineplex: Fort,167.5416667,900,3,Multiplex,
Mumbai,Sun City: Vile Parle,180.2083333,615,2,Multiplex,
Mumbai,"Super Cinema, Bharat Nagar",,822,1,Single Screen,
Mumbai,Super Cinema: Grant Road,,822,1,Single Screen,
